gene	logFC_combined	AveExpr	t	P.Value	adj.P.Val	logFC_pt3	logFC_pt7	same_direction
SUGP2	0.050503410826788706	7.448447743969874	0.28261434344139214	0.790049929078316	0.9997997501473126	0.1974740713826293	-0.09795074288539851	FALSE
ZBTB6	-0.09770506959046958	3.2584275318697697	-0.28249874371731504	0.7901330766152181	0.9997997501473126	-0.4525727783345972	0.2142541879487685	FALSE
H2BC15	0.14720489593495936	0.14678532887585016	0.2824497558565859	0.7901683131505324	0.9997997501473126	0.3041279358770937	-0.027449422889006078	FALSE
ASB9	0.12967984541291733	1.7003878076167545	0.28244131564695946	0.790174384177901	0.9997997501473126	-0.29846014600702553	0.5352158174134798	FALSE
HDHD3	0.07968790343898825	6.412109797762934	0.28238020411729686	0.7902183421083806	0.9997997501473126	0.5674667319709039	-0.3883734208491605	FALSE
USP28	0.06729907398934071	4.448080443867201	0.2823789172232344	0.7902192677896553	0.9997997501473126	0.17729594865032627	-0.04000440468515354	FALSE
DLGAP2	-0.16135501804011945	1.3121005824386365	-0.2822411909046355	0.7903183386335246	0.9997997501473126	-1.1292949580997218	0.48550561998633324	FALSE
ZNF25	0.06617648143590497	5.010722874647955	0.2822309184346414	0.7903257281276195	0.9997997501473126	-0.15987086010317864	0.3152713206180504	FALSE
TTC21B	-0.06365011014257838	6.287184358370819	-0.28217347242039115	0.7903670523522638	0.9997997501473126	-0.35042638611451515	0.26810591967798647	FALSE
ZC3HC1	-0.07066698285981521	4.1464442216556625	-0.2821177517805292	0.7904071361848903	0.9997997501473126	-0.05636726954690108	-0.08392046479935811	TRUE
DCAF13	-0.07957253596298504	3.9930702388776282	-0.28209009731842644	0.7904270302941561	0.9997997501473126	0.14034152138664435	-0.33388180954659497	FALSE
POGLUT3	0.07330693755944942	4.003781062912506	0.2820892195567276	0.7904276617427641	0.9997997501473126	0.13293650917835542	0.017667214604101034	TRUE
SEC31A	-0.04746517210373407	7.472593058507865	-0.28208511813088527	0.7904306122495226	0.9997997501473126	-0.12099583014557336	0.02700185422513357	FALSE
NCAPD3	0.05732691199918425	6.063392330502514	0.28207297180120294	0.7904393501684539	0.9997997501473126	0.269278389090287	-0.17214809888016802	FALSE
CBLL1	-0.06703519637656298	4.53687986620837	-0.2820688341420992	0.7904423267573121	0.9997997501473126	-0.20219440498238406	0.0755180843030896	FALSE
CDHR1	-0.05187564174929976	10.614366671656429	-0.28206186716151355	0.7904473387400051	0.9997997501473126	-0.0808083392876533	-0.024059528580927747	TRUE
LANCL1	0.04655183232117311	7.023043784637158	0.28190879845951206	0.7905574579632819	0.9997997501473126	0.05453941469244228	0.03849171234964199	TRUE
ANKRD13A	0.05348151324921279	6.428550054142894	0.28177741746815593	0.7906519793754112	0.9997997501473126	0.2316539489871099	-0.13268262039267675	FALSE
ACOXL	-0.21935091341109503	-2.6675450738761213	-0.2815627323360315	0.7908064425942293	0.9997997501473126	-1.0473015859024142	0.3215582060546407	FALSE
TBX6	0.07831234067770199	3.689028502404798	0.28149966545475313	0.7908518205450363	0.9997997501473126	0.0507025641067016	0.11106616336535025	TRUE
RAB8A	0.04954957137624566	6.277635223917367	0.28148218062714403	0.7908644014185919	0.9997997501473126	0.13703990734453164	-0.040301577167695335	FALSE
ULK3	0.052149565353940434	6.787671950823593	0.2814755019125693	0.7908692069796696	0.9997997501473126	0.2165491551752643	-0.12289332772019623	FALSE
PEX6	0.05019388596819148	5.945666569074574	0.28147410341394674	0.7908702132481145	0.9997997501473126	0.09829863267643724	5.578843043352322e-4	TRUE
TGFBR1	-0.0653965726571803	4.841049502698933	-0.28147175959303894	0.7908718997099208	0.9997997501473126	0.13461404065273186	-0.2517484783447417	FALSE
VPS50	0.059194550368309284	5.028053166393445	0.2814695973390623	0.7908734555291023	0.9997997501473126	-0.03509237648447261	0.15777933633895724	FALSE
HPS1	0.04778996177149907	6.9989911584025375	0.28139724063454497	0.7909255194257637	0.9997997501473126	0.1312516225245366	-0.036332817491308234	FALSE
FARSA	-0.0629135912967366	7.156904058463051	-0.2813172999363712	0.7909830418276284	0.9997997501473126	0.25488011878000183	-0.3850507803831249	FALSE
NINJ2	0.12850383011449637	2.8794346257893606	0.2812675055924246	0.7910188728017233	0.9997997501473126	-0.531041796018056	0.7867946928346474	FALSE
DBH	-0.3296027349741235	-3.1343856317315915	-0.281240509424752	0.791038298934557	0.9997997501473126	-3.006659601405069	1.1386941489048303	FALSE
PAIP1	0.1055970292435171	2.3039124991879736	0.2811062477073731	0.7911349147603028	0.9997997501473126	0.1517379659170217	0.06086014897580361	TRUE
ZNF594	-0.0743100761703967	4.636029769734076	-0.280936805917859	0.7912568527081512	0.9997997501473126	-0.3706144205113153	0.22872524887133405	FALSE
CDKN1C	-0.0964791886466477	3.2302507631305706	-0.2807534024413382	0.7913888459778252	0.9997997501473126	-0.4839545505287006	0.17437818295648855	FALSE
ARPIN	0.050246246588228995	6.693769899009876	0.2807000786586397	0.791427223994072	0.9997997501473126	0.18659583303233251	-0.08911688927412698	FALSE
TMEM120A	0.05720100237720089	5.6487363929903776	0.2806793459712792	0.7914421458415637	0.9997997501473126	-0.12801146593686763	0.24185033003981182	FALSE
RPAP2	-0.05451336998349651	5.420437031905667	-0.28055729691831843	0.7915299897945277	0.9997997501473126	-0.12430440723635883	0.023149470118961624	FALSE
ANGPTL2	-0.0857687983692011	5.095915072590043	-0.2805162768001897	0.791559514549747	0.9997997501473126	-0.612439913388191	0.3581237596155695	FALSE
LRFN1	0.10578105979930122	2.475883838261618	0.2804077661146972	0.7916376184736811	0.9997997501473126	0.3294333190961076	-0.10520425280973544	FALSE
TAF12	-0.05951057074622626	4.915615621933343	-0.28023318304811357	0.7917632860334121	0.9997997501473126	-7.418801575820311e-5	-0.12046700965980861	TRUE
TRMT5	-0.07183785948327708	4.41389821641532	-0.28014802375446607	0.7918245876765388	0.9997997501473126	0.15986281581640416	-0.2754587859524529	FALSE
FOXD1	-0.12991549080117468	2.387467805615223	-0.2800390633678061	0.7919030250233619	0.9997997501473126	-0.7512652577734065	0.43867993702962993	FALSE
CDC14B	-0.09017890215419339	3.5813825160473844	-0.28003891470926895	0.7919031320401939	0.9997997501473126	-0.41906771623480044	0.20748042022895774	FALSE
ALKBH4	0.060226724321025715	4.812103128922032	0.2798702440984145	0.7920245586839497	0.9997997501473126	0.09162488955048786	0.02708941594814185	TRUE
GORASP2	-0.06152304880703459	5.456710815566704	-0.27976253856660294	0.7921020999298183	0.9997997501473126	0.17137044967429915	-0.2962966614666973	FALSE
VPS26B	0.04625245184456457	6.948163629907025	0.2795395312638898	0.7922626601657908	0.9997997501473126	0.059449731813682405	0.032917412863224804	TRUE
ANKRD18B	-0.07324675885566377	4.047234965595066	-0.2794871492097766	0.7923003758105779	0.9997997501473126	-0.18763075153015318	0.05324610147580744	FALSE
PRR22	0.05913700497456098	5.303188525734827	0.27939338714424883	0.792367887167923	0.9997997501473126	0.2183769595243792	-0.13332393653201713	FALSE
QRICH2	-0.07733564847055924	3.8071829041791183	-0.279366201098482	0.7923874622927074	0.9997997501473126	0.0656346339188345	-0.18759281517939685	FALSE
ATP5IF1	-0.04648824956479327	7.162557134942972	-0.2793427925204501	0.7924043176210982	0.9997997501473126	-0.08909628871222441	-0.0027199064971101805	TRUE
RPRD1A	0.04998870911917866	7.354590213901485	0.2792835766013479	0.79244695658906406	0.9997997501473126	-0.09846051955572221	0.1999736038250699	FALSE
GNPTG	0.04916095634983603	7.686033283056505	0.27922310690231117	0.7924904992276615	0.9997997501473126	0.18027494061182203	-0.08319329523244612	FALSE
LCT	0.2665287216859053	-1.9212181595895963	0.2790423026291883	0.7926206968971061	0.9997997501473126	1.947536708981807	-1.0037604780334959	FALSE
ACER1	0.09906104110974209	5.901992226148341	0.27901479527780265	0.7926405057110268	0.9997997501473126	0.7368705695956006	-0.5650051550571993	FALSE
PAPOLG	-0.059337831920132034	4.867741483175352	-0.27893025767878626	0.7927013847470126	0.9997997501473126	-0.040948090081083244	-0.07866723204773685	TRUE
TOP3A	0.05432111128015843	5.6189214027615275	0.27888417881329264	0.7927345687785122	0.9997997501473126	0.1814456476724402	-0.07777042334018525	FALSE
RELCH	-0.04678484639397371	7.426229165470388	-0.27870067469009424	0.7928667256984406	0.9997997501473126	0.02260257363428053	-0.11702335592597368	FALSE
YIF1A	0.06915293815562945	5.598544620141217	0.27844458015294765	0.7930511747293989	0.9997997501473126	0.4240995507141845	-0.2749980376501	FALSE
REV1	0.05221292622336968	7.097513763021954	0.27840910285044235	0.793076728080103	0.9997997501473126	0.2396666305454982	-0.13824188864300258	FALSE
MFSD9	0.0874552903866917	4.100864764971329	0.2782549418489367	0.7931877696439302	0.9997997501473126	0.5316055227561947	-0.2688577429490504	FALSE
KCNK17	-0.2741505967364412	-2.150789946045962	-0.27824756994464894	0.7931930797411337	0.9997997501473126	0.9284508678509087	-2.2144946941855688	FALSE
ESR1	0.13191428534812216	2.6130675286201592	0.27816782012477553	0.7932505256126224	0.9997997501473126	-0.5733066334524741	0.7685138002430549	FALSE
DYNLL1	0.06024451028951798	4.768027036693633	0.2781286575378762	0.7932787360045219	0.9997997501473126	0.06869040342073252	0.05024502115022145	TRUE
PLXNB1	-0.04718325478457348	8.532403827036415	-0.27809704216668735	0.7933015101018615	0.9997997501473126	0.010864921227620172	-0.10570330854818089	FALSE
TKFC	-0.04801764035131393	6.182987168731424	-0.2780684552611945	0.7933221028545793	0.9997997501473126	-0.04000685859350561	-0.056353137041354806	TRUE
MTHFD2	-0.13627008953139236	3.431053444508289	-0.27798296176066317	0.7933836897964865	0.9997997501473126	0.7541730182250403	-0.9051585198783472	FALSE
ITGB1BP1	0.05980286335750299	6.0644791024852935	0.27795595771850273	0.793403143060587	0.9997997501473126	-0.21188224698328817	0.31949990817956664	FALSE
NEK4	0.06268694252839653	4.684731200464891	0.27793793918249526	0.7934161234127386	0.9997997501473126	0.16343896777576994	-0.03518205843812794	FALSE
KRT10-AS1	-0.09015485754414254	3.066879935808659	-0.27791790353036566	0.7934305569645974	0.9997997501473126	-0.2617933661430589	0.023346629827522225	FALSE
DYNLT1	-0.06221435704381954	4.959663400416274	-0.27788951230998304	0.7934510099782893	0.9997997501473126	0.1286991778633757	-0.21939711242742277	FALSE
RRAS2	-0.08030687313598511	3.701147213605377	-0.2777998684701626	0.793515590606078	0.9997997501473126	-0.24196137923429673	0.09347131361901129	FALSE
YIPF2	0.05606942944452611	5.503796202503601	0.27772853577696754	0.7935669810192063	0.9997997501473126	0.21396546084610168	-0.092900892422632	FALSE
TM9SF1	-0.05367319610934201	6.094969267905348	-0.2776210693200928	0.7936444056928019	0.9997997501473126	0.12363339419605435	-0.2305445964348838	FALSE
ZNF70	0.08720023605621209	4.710740989575834	0.2775212876297168	0.7937162963298913	0.9997997501473126	-0.36872300214591913	0.5853859553458145	FALSE
MEGF11	-0.19264178531674636	2.0745852089491943	-0.2775055256577831	0.7937276527225027	0.9997997501473126	-1.4617745400592472	0.9708393978795571	FALSE
